client_id,recommended_strategy,forecasted_value_year_1,forecasted_value_year_2,forecasted_value_year_3
96c4c0a3-bb3f-4ac1-81ad-0850cd29911f,Conservative,41357.80335273601,81489.88866554662,92882.02442455848
35fb4c11-fb1a-4eeb-addc-bd6ff6cb7934,Conservative,45185.43820012611,132260.88230557714,145035.04282448255
e5aafbe0-c869-41d9-acf1-1b019363e449,Conservative,23555.621013823646,33145.98138676152,148644.63137264262
43b978dd-4dd5-4f21-96d2-63ab16c814a3,Balanced,17482.74133390801,38176.70358952097,51761.48908011481
abe77866-df1b-4a5c-ad96-eb78dff4ffc9,Balanced,15862.092681772534,53750.147978613226,83508.14405771288
773e1579-3d8a-4a53-a86e-06c4ab14bf22,Aggressive,87024.1099154589,110227.05520514748,120541.69452907897
366c572f-2cc1-48ba-b3fe-e11f49ca6c50,Balanced,32241.320290756703,120573.7918355021,126519.13008409133
f0cbfe61-064c-42ec-a27b-056996c182a3,Aggressive,48301.64671041911,113072.33154025565,148894.34343216405
4cfe27eb-7d5b-4d61-9be8-40e91f04b2f5,Balanced,25719.888926808984,40300.6124531736,113752.02619594891
2eef3ba0-a7c7-42b1-a3ac-3c33aedcb5f2,Conservative,20904.774761707893,31605.444841705663,90416.72352080743
feee5b03-437c-47e7-ba44-8dc58bd961ad,Aggressive,33066.82900495858,53377.00254521475,99990.28908038443
e851f024-4212-4fb7-974e-3595ca932bc0,Conservative,21063.02536440814,139136.68832856673,149089.42708210016
bf22d180-8d4e-41aa-a662-c209939a7824,Balanced,75842.67411675327,91094.0960888829,105727.56523155421
c057db2b-b8cc-4627-a552-a0be634ebe9a,Conservative,20783.069941080288,75262.2301855313,142243.7018563822
da7ab453-9f00-4b15-bc5c-2cee2f69eda2,Balanced,32506.662060271774,46388.30894805721,55416.755450222015
c016931a-2824-4ebd-8945-608c16137087,Balanced,30784.67729592785,107090.67681082072,143236.45521322027
d2e9c309-35a3-40b7-9ccb-6ae2e038a377,Balanced,88901.003451263,114077.22589525237,137958.36058092478
a6959c14-afe2-445a-b741-1372f72a18b1,Aggressive,31260.39089953633,48868.678485244534,141188.53859092062
